Number,Format,Theme,Title,On-Screen Text,Caption,Hashtags,Visual Note
11,Reel,Gaslighting,The Memory Test,"first he rewrote the fight / then he rewrote you","gaslighting doesn't start with a lie. it starts with a small correction. that's not what i said. you're remembering it wrong. you're being dramatic. by the time you notice, you've stopped trusting your own memory. you've outsourced your reality to the person breaking you. take it back. one true sentence at a time. ♡ - MK","#gaslighting #emotionalabuse #narcissisticabuse #therewrite #believeyourself",Glitch text effect on the on-screen quote. Pink chromatic shift.
12,Carousel,Control,Coercive Control 101,"he never hit me / he just made sure i couldn't breathe","coercive control looks like permission for a haircut. like a budget you don't see. like a phone he checks in his sleep. like friends he pruned for you. like a god he made of himself in your living room. it is abuse. it is illegal in some places and should be in all of them. and you are not exaggerating. ♡ - MK","#coercivecontrol #emotionalabuse #financialabuse #domesticviolence #therewrite",6 slides. Each defines one tactic. Soft pink corners.
13,Reel,Isolation,The Friends You Lost,"he didn't take your friends / he made staying friends with you cost too much","abusers don't burn the village. they raise the price of admission. by the time you look up, the people who loved you most are the ones you owe the most apologies to. for the calls you didn't return. the dinners you bailed on. the way you got quiet at the table. they will forgive you. start with one. ♡ - MK","#isolationabuse #rebuildingfriendships #survivor #therewrite",Slow pan over an empty dinner table. One chair pulled out.
14,Static,Hope,One True Sentence,"start with one true sentence / he was not safe","when you can't write the whole story, write one true sentence. he was not safe. i was not crazy. i deserved better. that's a foundation. the rest of the book will come. ♡ - MK","#onetruesentence #therewrite #healingjourney #survivor",Pink card. Black serif. Slight paper texture.
15,Reel,Self Trust,Trust Yourself First,"the people who told you you were crazy / had a vested interest in your silence","consider the source. the people who needed you to doubt yourself were the ones profiting from your doubt. your gut was not the problem. your gut was the only honest thing in the room. ♡ - MK","#trustyourself #survivor #narcissisticabuse #therewrite",Mirror reflection. Soft pink light. Slow blink in.
16,Carousel,No Contact,The First 30 Days,"day one of no contact / is the loudest silence of your life","no contact is not closure. it's withdrawal. you will romanticize him on day three. you will draft a text on day seven. you will almost break on day fourteen. and on day thirty you will notice the lightness. it's not gone. but it's coming. hold the line. ♡ - MK","#nocontact #leavingabuse #survivor #therewrite #healing",Calendar carousel. Day 1 through Day 30. Pink check marks.
17,Reel,Identity,Who You Were Before Him,"there was a girl before him / and she's still in there / waiting to be picked up","before him you laughed louder. you wrote things. you wore the dress. you said the thing. she didn't die. she just got quiet. go back for her. she's been sitting on the curb of your old life this whole time. ♡ - MK","#findyourselfagain #healingjourney #survivor #therewrite",Cut between old photos and present hands. Pink film grain.
18,Static,Believe Women,Believe Her The First Time,"she will only tell you the polite version / believe her anyway","when a woman finally tells you, she has already shrunk it for your comfort. believe the polite version. then sit with her until she can tell you the real one. ♡ - MK","#believewomen #domesticviolenceawareness #survivor #therewrite",Black tile. White serif. Pink heart pin.
19,Reel,Narc Cycle,Love Bombing,"the high was the bait / the low was the point","love bombing is not love. it's a deposit. they're collecting interest later. when the cold comes, you will chase the warmth and call it your fault. it was the plan. ♡ - MK","#lovebombing #narcissisticabuse #emotionalabuse #therewrite",Heat-map style overlay. Hot pink fading to gray.
20,Carousel,Court,What Family Court Won't Tell You,"he will look calm / and you will look hysterical / it is the design","family court is not a healing space. it is a performance. document everything. text in writing. screenshots backed up off your phone. find a lawyer who has handled coercive control. you will be told to be calm. be calm and be relentless. ♡ - MK","#familycourt #domesticviolence #coercivecontrol #survivor #therewrite",5 slides of practical tips. Pink notebook aesthetic.
21,Reel,Body Memory,The Body Keeps Score,"your body remembered him / before your mind let you,","you will flinch at a slammed cabinet for years. you will brace at a familiar cologne. that's not weakness. that's a nervous system that learned to survive a person. it will recalibrate. give it time it didn't get the first time. ♡ - MK","#thebodykeepsscore #traumaresponse #healing #survivor #therewrite",Soft focus on hands unclenching. Slow exhale audio.
22,Static,Anger,Your Anger Is Information,"your anger is not the problem / it's the proof","you weren't an angry woman. you were a woman who finally figured out what was being done to her. anger is not a flaw. it's a compass. follow it home. ♡ - MK","#righteousanger #survivor #therewrite #healingjourney",Pink tile. One bold black headline. Tiny ♡ - MK.
23,Reel,Suffering In Silence,The Strong Friend,"the strong friend is not okay / she's just well-rehearsed","the woman everyone leans on is the woman nobody checks on. she will tell you she's fine because she's been performing fine since she was seven. ask twice. mean it. let the silence get long. she'll fill it eventually. ♡ - MK","#checkonyourstrongfriend #sufferinginsilence #survivor #therewrite",Quiet kitchen scene. Tea steam rising. Pink-tinted window.
24,Carousel,Apology,The Apology That Wasn't,"i'm sorry you feel that way / is not an apology / it's a closing argument","real apologies have three parts. i did this. it hurt you in this way. here is what i will do differently. anything less is a lawyer with feelings. you do not have to accept the closing argument. ♡ - MK","#realapology #emotionalabuse #narcissisticabuse #therewrite",4 slides. Each defines one element of a real apology.
25,Reel,Money,Financial Abuse Is Abuse,"he didn't lock the door / he locked the bank account","financial abuse is rarely on the brochure. allowance. veto power. credit run into the ground in your name. a job he made impossible to keep. it counts. it's a cage. start a separate account today. even ten dollars. that's the first key. ♡ - MK","#financialabuse #domesticviolence #survivor #therewrite",Tight shot of a hand opening a banking app. Pink UI overlay.
26,Static,Worth,You Were Never Too Much,"you were never too much / you were just with someone too small","loud. emotional. ambitious. needy. those were not flaws. those were the symptoms of being underloved by someone who needed you smaller. take up the room. the right people will pull up a chair. ♡ - MK","#youarenottoomuch #survivor #therewrite #worthy",Pink card. Centered serif. Subtle paper grain.
27,Reel,Family,When Family Picks Him,"the second betrayal / is the one with your last name","sometimes the people who should have caught you, didn't. sometimes they sided with him because his story was easier than yours. that grief is real. you can love them and still build a life that doesn't need their permission. chosen family is family. ♡ - MK","#familytrauma #chosenfamily #survivor #therewrite",Empty frame on a wall. Pink ribbon tied to it.
28,Carousel,Safety Plan,A Quiet Safety Plan,"you don't have to leave today / you have to be ready for the day you can","copy of your ID somewhere safe. cash you can reach. a friend who knows the code word. screenshots in a hidden album. a bag at your sister's. a number for the local hotline. you are not paranoid. you are preparing. that's wisdom. ♡ - MK","#safetyplan #domesticviolenceawareness #survivor #therewrite",6 slides of practical checklist items. Pink check marks.
29,Reel,Self Talk,Talk To Yourself Like Her,"the way you talk to yourself / is the last room he's allowed to live in","kick him out of that one too. the inner critic with his voice. the eye roll in your head. the predictions of your failure that sound exactly like him. he doesn't get the inside of your skull. evict him. one kind sentence at a time. ♡ - MK","#innercritic #selfcompassion #survivor #therewrite",Mirror shot. Pink lipstick writing on the glass.
30,Static,Truth,A True Sentence,"i was not crazy / i was being mistreated / both can be true","sometimes both things are true. you may have your own things to work on. and you were still being mistreated. one does not cancel the other. don't let your work on yourself become evidence in his case against you. ♡ - MK","#bothcanbetrue #survivor #therewrite",Pink tile. Black serif. Tiny heart sign.
31,Reel,Identity,The Person He Built,"i spent ten years being the woman / he could tolerate / and she still wasn't enough","you cannot shrink yourself into being loved. you can only shrink yourself into being kept. there is a difference. one of them is a life. the other is a holding cell with good lighting. ♡ - MK","#shrinkingyourself #narcissisticabuse #survivor #therewrite",Slow zoom out on a small chair in a big room.
32,Carousel,Friends,The Apology Tour,"start with one friend / say one true sentence / let her say the rest","when you come back to your people, you don't have to explain everything. you can say i wasn't well and i missed you. most of them have been waiting. the ones who haven't, were never the village. ♡ - MK","#rebuildingfriendships #aftertheabuse #survivor #therewrite",4 slides of suggested first texts. Pink message bubbles.
33,Reel,Therapy,Find The Right Therapist,"the wrong therapist / will hand you back to him / in better language","not every therapist understands coercive control. some will couples-counsel you back into a cage. find one trained in trauma, narcissistic abuse, or DV. it is the difference between getting better and getting gaslit with credentials. ♡ - MK","#findatherapist #traumatherapy #survivor #therewrite",Notepad with checklist of what to ask in a consult.
34,Static,Self Worth,The Standard,"the bar is not / does he hit me / the bar is / does he make me feel safe","the bar is not the absence of cruelty. it's the presence of safety. raise it. ♡ - MK","#raisethebar #healthyrelationships #survivor #therewrite",Bold pink horizontal line on a white tile. Black serif overhead.
35,Reel,Closure,Closure Is A Myth,"closure is what you give yourself / when the apology never comes","you will not get the conversation. you will not get the apology. you will not get the version where he understands what he did. closure is not a door he walks through. it's one you close. you have the key. you've had it the whole time. ♡ - MK","#closure #healing #survivor #therewrite",Hand turning a key. Pink rim light.
36,Carousel,Children,If You Have Kids With Him,"the kids are watching / not the fights / they are watching how you recover","you cannot make him a better father. you can only model what a steady adult looks like. the rage, the explanation, the panic, those go to your therapist and your friends. they do not go in front of the kids. that's the rewrite. ♡ - MK","#coparenting #aftertheabuse #survivor #therewrite",4 slides of grounded coparenting principles.
37,Reel,Loneliness,The Loneliness After,"the loneliness after / is louder than the relationship / and it is still safer","you will miss him at 2am. you will miss the noise. you will miss the version of him that didn't exist. that's not a sign to go back. that's withdrawal. it ends. the quiet becomes peace. give it time. ♡ - MK","#loneliness #aftertheabuse #survivor #therewrite",Window at night. Soft pink streetlight. Slow rain.
38,Static,Worthy,Worthy In The Wreckage,"worthy in the wreckage / worthy in the rebuild / worthy on a tuesday with no makeup on","your worth was never up for review. not in his court. not in your family's court. not in your own. ♡ - MK","#youareworthy #survivor #therewrite",White tile. Pink underline. Bold black serif.
39,Reel,Truth,The People Who Believed Him,"the people who believed him / told you everything / about themselves","you don't have to win them back. their belief in his story is a confession of who they are. let them go. you are building a life. they are still in his audience. ♡ - MK","#chosenfamily #aftertheabuse #survivor #therewrite",Pink curtain falling. Stage emptying.
40,Carousel,Patterns,The Pattern,"if it happened once / it was an event / if it happened three times / it was a pattern","abusers test. they apologize. they try again. they escalate. they apologize bigger. you start tracking weather instead of behavior. write it down. dates, words, the temperature in the room. patterns are evidence. memory alone won't hold. ♡ - MK","#documenteverything #coercivecontrol #survivor #therewrite",4 slides. Notebook aesthetic. Pink tabs.
41,Reel,Joy,The Return Of Joy,"joy is the most rebellious thing / a survivor can do","they wanted you small. joy is the loudest no you can give. eat the cake. dance in the kitchen. wear the dress. laugh too loud at brunch. that is the rewrite, in real time. ♡ - MK","#joyisresistance #survivor #therewrite #rebrandyourlife",Sunlight through a window. Hands in flour. Pink tones.
42,Static,Hope,The Light,"there is a version of you / on the other side of this / and she is so glad you stayed","she's not perfect. she's not healed all the way. but she's here. she's funny again. she sleeps through the night. she dates a man who texts back. she is real. she is waiting. don't leave her behind. ♡ - MK","#hopeforsurvivors #therewrite #stayalive",Pink sunrise tile. Centered serif. Tiny heart.
43,Reel,Identity,Rebrand Your Life,"rebrand your life / rewrite your story / they don't get the next chapter","this is the work. this is the dispatch. this is what we do here. you take back the pen. you change the tone. you fire the people in your story who never deserved a speaking part. you rebrand. it is allowed. ♡ - MK","#rebrandyourlife #therewrite #thedispatch #mkparrish",Cut sequence. Old photos. New photos. Pink film leader between.
44,Carousel,Practical,Five Things To Do This Week,"small moves / steady hands / no drama","one. open a separate bank account. two. screenshot anything you might need. three. tell one safe person. four. eat a real meal. five. write one true sentence. that's a week. that's how it starts. ♡ - MK","#smallmoves #safetyplan #survivor #therewrite",5 slides of one action each. Pink check marks.
45,Reel,Voice,Your Voice Was The Threat,"he wasn't afraid of your tears / he was afraid of your voice","your voice was always the threat. that's why he worked so hard to make you doubt it. use it now. quietly. on the page. in a journal. in a text to a friend. on a stage. the volume doesn't matter. the using does. ♡ - MK","#useyourvoice #survivor #therewrite #thedispatch",Microphone in soft pink light. Slow pull focus.
46,Static,Truth,A Note For The Sister Reading This,"if you're reading this in a parking lot / hiding from the man inside the house / you are not alone / and you are not crazy","you are tired. you are scared. you are still here. that is not nothing. that is the whole thing. the hotline is 1-800-799-7233. text START to 88788. there are people whose only job is to help. let one of them. ♡ - MK","#dvhotline #youarenotalone #survivor #therewrite",Pink card. Hotline numbers in black bold serif. Heart sign.
47,Reel,Self,The Woman In The Mirror,"the woman in the mirror / has been waiting for you / to come home to her","he kept you out of your own house for years. the door is unlocked. she left a light on. go in. ♡ - MK","#cominghometoyourself #survivor #therewrite #healing",Mirror. Soft pink lamp. Slow walk-in shot.
48,Carousel,The Dispatch,Subscribe,"if this hit / there is more / quietly / weekly / signed M.K.","the dispatch is where i write the long version. raw and poetic. no algorithm. no performance. just sentences for the women rewriting their lives in real time. link in bio. ♡ - MK","#thedispatch #newsletter #therewrite #mkparrish",3 slides. Pink envelope motif. Subtle scroll cue.
49,Reel,Ebook,The Quiet Ones (Ebook),"the quiet ones / a rewrite for women who survived what no one saw / out now","ten chapters. ten poems. ten rewrites. the book i wish someone had handed me at 2am in the kitchen. it's not pretty. it's honest. it's yours if you want it. link in bio. ♡ - MK","#thequietones #ebook #survivor #therewrite #mkparrish",Hand placing the ebook cover on a pink linen table.
50,Static,Closing,The Last Line,"they wrote me as the villain / so i picked up the pen / and the rest of this story / is mine","♡ - MK","#therewrite #rebrandyourlife #mkparrish #thedispatch #survivor",Black tile. Pink hairline border. Bold white serif. Heart sign center.
