"slug","type","title","subtitle","author","description","keyword_1","keyword_2","keyword_3","keyword_4","keyword_5","keyword_6","keyword_7","category_1","category_2","category_3","kindle_epub","ebook_cover_jpg","paperback_pdf","paperback_page_count","paperback_status","paperback_trim","paperback_bleed","paperback_cover_note","direct_store_price_anchor","ai_disclosure_note"
"the-edit-diy","Template","The Edit","DIY Edition","MK Parrish","Most writing is not bad. It is just unedited.  The Edit: DIY Edition turns MK Parrish's client copy-editing framework into a self-guided workbook. Readers move through copy audit, brand-voice edit, and line edit passes that sharpen bios, emails, landing pages, LinkedIn posts, and other public-facing writing.  This is not proofreading. It is the layer above: the question of whether the writing is true, specific, voiced, and doing the job it came to do.","copy editing checklist","brand voice edit","line editing workbook","edit your writing","copy audit framework","improve website copy","professional writing self edit","Reference > Writing Skills","Business & Money > Skills","Business & Money > Marketing & Sales","public/downloads/templates/the-edit-diy.epub","public/downloads/covers/the-edit-diy-cover.jpg","public/downloads/templates/the-edit-diy.pdf","16","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$22","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"before-the-session","Template","Before the Session","The pre-work that turns a strategy session into something you actually use.","MK Parrish","The best strategy sessions start before the call.  Before the Session is a self-guided prep workbook for founders, professionals, and creators who want to arrive at a strategy conversation already clear on the real problem. MK Parrish leads readers through identity, positioning, brand clarity, inner resistance, and goal-setting exercises that make the hour useful before it begins.  Use it before a consulting session, before a brand audit, or anytime you need to think clearly before asking for outside help.","strategy session prep","positioning self audit","brand clarity workbook","consultant prework","business goal setting","session prep guide","identity positioning audit","Business & Money > Consulting","Business & Money > Entrepreneurship","Self-Help > Personal Success","public/downloads/templates/before-the-session.epub","public/downloads/covers/before-the-session-cover.jpg","public/downloads/templates/before-the-session.pdf","19","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$18","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-rewrite-playbook","Template","The Rewrite Playbook","A self-guided LinkedIn and professional story overhaul.","MK Parrish","You are being read right now. The question is whether the page still tells the truth.  The Rewrite Playbook is a self-guided professional story and LinkedIn overhaul for executives, founders, career changers, and anyone whose public bio no longer matches the person they have become. MK Parrish walks readers through story audit, positioning statement, LinkedIn rebuild, and bio rewrites in multiple lengths.  It is for people ready to stop decorating the old story and write the real one straight.","linkedin rewrite workbook","professional story audit","career pivot narrative","positioning statement builder","executive bio templates","personal brand overhaul","profile optimization","Business & Money > Job Hunting & Careers","Business & Money > Marketing & Sales","Self-Help > Personal Success","public/downloads/templates/the-rewrite-playbook.epub","public/downloads/covers/the-rewrite-playbook-cover.jpg","public/downloads/templates/the-rewrite-playbook.pdf","25","Ready as 6 x 9 no-bleed interior","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$45","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-new-chapter-workbook","Template","The New Chapter Workbook","The brand and website repositioning framework - run it yourself.","MK Parrish","Your business changed and your website did not.  The New Chapter Workbook is a brand and website repositioning framework for founders and business owners whose current site is selling an old version of the work. MK Parrish guides readers through brand audit, positioning map, website copy architecture, voice reset, and launch checklist.  It is a practical workbook for a pivot, rebrand, relaunch, or return.","brand repositioning workbook","website copy audit","rebrand strategy guide","brand messaging reset","launch copy checklist","positioning map","website relaunch workbook","Business & Money > Marketing & Sales","Business & Money > Entrepreneurship","Computers & Technology > Web Design","public/downloads/templates/the-new-chapter-workbook.epub","public/downloads/covers/the-new-chapter-workbook-cover.jpg","public/downloads/templates/the-new-chapter-workbook.pdf","20","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$35","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-byline-method","Template","The Byline Method","The voice capture and ghostwriting framework.","MK Parrish","Ghostwriting that works does not sound ghostwritten.  The Byline Method documents MK Parrish's voice-capture and ghostwriting framework for founders, executives, writers, and content leads. Readers learn how to interview for voice, calibrate tone across formats, write inside someone else's patterns, and maintain an editorial calendar that keeps the voice consistent.  Use it to ghostwrite for a client or to capture your own best voice and return to it when the blank page gets loud.","ghostwriting framework","voice capture interview","thought leadership writing","founder ghostwriting","editorial calendar template","write in someone's voice","executive content system","Reference > Writing Skills","Business & Money > Marketing & Sales","Business & Money > Skills","public/downloads/templates/the-byline-method.epub","public/downloads/covers/the-byline-method-cover.jpg","public/downloads/templates/the-byline-method.pdf","21","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$38","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-build-copy-guide","Template","The Build","Copy Guide","MK Parrish","A beautiful website with weak copy is a beautiful building with no address.  The Build: Copy Guide is a page-by-page website copy framework for founders and business owners writing or briefing a new site. MK Parrish breaks down positioning, homepage structure, services pages, about pages, contact CTAs, and the review process that separates copy that converts from copy that only sounds nice.  It is built for people who need every word on the site to work.","website copy guide","homepage copy template","service page copy","website messaging framework","conversion copy workbook","founder website copy","copywriting for business owners","Business & Money > Marketing & Sales","Business & Money > Entrepreneurship","Computers & Technology > Web Marketing","public/downloads/templates/the-build-copy-guide.epub","public/downloads/covers/the-build-copy-guide-cover.jpg","public/downloads/templates/the-build-copy-guide.pdf","11","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$45","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-social-strategy-playbook","Template","The Social Strategy Playbook","A Content System You'll Actually Use","MK Parrish","Most people do not have a content problem. They have a system problem.  The Social Strategy Playbook is a self-guided content strategy workbook for founders and thought leaders who need a repeatable system instead of relying on inspiration. MK Parrish walks readers through audience clarity, content pillars, platform-calibrated voice, a 30-day content sprint, and a posting system that survives busy weeks.  It is the strategy behind The Social Suite, documented so readers can run it themselves.","content strategy workbook","social media content system","content pillar framework","30 day content plan","brand voice for social","founder content strategy","posting system","Business & Money > Marketing & Sales > Social Media","Business & Money > Marketing & Sales","Computers & Technology > Web Marketing","public/downloads/templates/the-social-strategy-playbook.epub","public/downloads/covers/the-social-strategy-playbook-cover.jpg","public/downloads/templates/the-social-strategy-playbook.pdf","10","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$38","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"scripture-and-strategy","Course","Scripture & Strategy","A complete faith-based business curriculum - from study practice to sustainable income.","MK Parrish","Scripture & Strategy is a faith-based business curriculum for creators, founders, and ministry-minded builders who want study, calling, voice, offers, content, and revenue to work together.  Across eight modules, MK Parrish moves from source and study to calling, voice, offer architecture, content pipeline, revenue engine, and obedience after the launch. The result is a grounded curriculum for building something sustainable without splitting faith from strategy.","faith based business curriculum","scripture and strategy","Christian creator course","build offers from calling","faith led marketing","sustainable ministry income","Christian business framework","Christian Books & Bibles > Ministry & Evangelism","Business & Money > Entrepreneurship","Christian Books & Bibles > Christian Living","public/downloads/scripture-and-strategy.epub","public/downloads/covers/scripture-and-strategy-cover.jpg","public/downloads/scripture-and-strategy.pdf","46","Ready as 6 x 9 no-bleed interior","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$497","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-vault","Bundle intro","The Vault","Every framework, every guide, every word - the complete library, in one place.","MK Parrish","The Vault is the complete MK Parrish writing-and-identity library in one self-study map.  This short guide introduces the works inside the library, explains what each one is for, and helps readers choose where to begin depending on the season they are in: reinvention, healing, personal brand writing, brand voice, or spiritual curiosity.  Upload note: this file is best treated as a Kindle-only companion or library guide unless expanded for paperback length.","writing and identity library","self study library","reinvention writing prompts","identity and voice workbooks","personal brand and healing","creative self discovery","writing guides for reinvention","Self-Help > Personal Transformation","Reference > Writing Skills","Self-Help > Creativity","public/downloads/the-vault.epub","public/downloads/covers/the-vault-cover.jpg","public/downloads/the-vault.pdf","7","Not recommended until expanded to 24+ pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$97","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-services-vault","Bundle intro","The Services Vault","Every consulting methodology I run with clients - documented as a self-study library.","MK Parrish","The Services Vault is a self-study map to MK Parrish's consulting methodologies.  This short guide introduces the service companion guides inside the library, including website copy, LinkedIn rewrites, content strategy, ghostwriting, copy editing, repositioning, and strategy-session prep. It helps readers choose the right guide for the job in front of them.  Upload note: this file is best treated as a Kindle-only companion or library guide unless expanded for paperback length.","consulting method library","DIY service guides","copywriting templates","brand strategy workbooks","website social content systems","ghostwriting framework","business writing tools","Business & Money > Consulting","Business & Money > Marketing & Sales","Business & Money > Entrepreneurship","public/downloads/the-services-vault.epub","public/downloads/covers/the-services-vault-cover.jpg","public/downloads/the-services-vault.pdf","7","Not recommended until expanded to 24+ pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$127","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
